date,variant,net_return_difference
2018-09-04,monthly_control,-8.202427582719007e-05
2018-09-05,monthly_control,8.670295521363142e-06
2018-09-06,monthly_control,-8.956644534610734e-05
2018-09-07,monthly_control,2.7690126922045926e-05
2018-09-10,monthly_control,7.506088776368901e-05
2018-09-11,monthly_control,1.3887667690464628e-05
2018-09-12,monthly_control,-9.240286873874728e-05
2018-09-13,monthly_control,-2.203879941995563e-05
2018-09-14,monthly_control,0.00020327558111855036
2018-09-17,monthly_control,1.0199479458040776e-05
2018-09-18,monthly_control,-6.082753645112078e-05
2018-09-19,monthly_control,3.416174068257257e-05
2018-09-20,monthly_control,4.6548315566357756e-05
2018-09-21,monthly_control,0.000140831707686407
2018-09-25,monthly_control,-5.5586998739838274e-05
2018-09-26,monthly_control,9.395155513595814e-05
2018-09-27,monthly_control,5.864099066378494e-05
2018-09-28,monthly_control,3.51642748285929e-06
2018-10-08,monthly_control,-6.467269005869421e-05
2018-10-09,monthly_control,1.020325292459324e-05
2018-10-10,monthly_control,-3.710009298541828e-05
2018-10-11,monthly_control,0.00016101580286145487
2018-10-12,monthly_control,0.00018225325162373948
2018-10-15,monthly_control,-1.649649054654345e-05
2018-10-16,monthly_control,9.803622413443835e-05
2018-10-17,monthly_control,3.713991835399815e-05
2018-10-18,monthly_control,2.9645072766721486e-05
2018-10-19,monthly_control,-1.117546301106654e-05
2018-10-22,monthly_control,-0.00020874387846210422
2018-10-23,monthly_control,-0.0001364847926920796
2018-10-24,monthly_control,-0.00014003837226392746
2018-10-25,monthly_control,-0.00015969143895112805
2018-10-26,monthly_control,-1.4955591800002756e-05
2018-10-29,monthly_control,-0.000179363259119116
2018-10-30,monthly_control,-0.0001775172192553028
2018-10-31,monthly_control,7.549774616554504e-05
2018-11-01,monthly_control,4.260286499965533e-05
2018-11-02,monthly_control,6.742078480048361e-05
2018-11-05,monthly_control,-0.000148372208753324
2018-11-06,monthly_control,-8.662325757456592e-06
2018-11-07,monthly_control,6.340398882285944e-05
2018-11-08,monthly_control,0.00014736830461151412
2018-11-09,monthly_control,-9.744154539868084e-05
2018-11-12,monthly_control,-0.00012025464334093627
2018-11-13,monthly_control,-0.00014482858737590708
2018-11-14,monthly_control,9.097819246454107e-06
2018-11-15,monthly_control,-0.00011596123041144333
2018-11-16,monthly_control,-9.71449460805344e-05
2018-11-19,monthly_control,-4.6735350977356776e-05
2018-11-20,monthly_control,5.425915043400734e-05
2018-11-21,monthly_control,-2.1842001067452982e-05
2018-11-22,monthly_control,1.97296607114207e-05
2018-11-23,monthly_control,0.00024852890575821716
2018-11-26,monthly_control,6.220232425798171e-05
2018-11-27,monthly_control,-7.779742840666962e-05
2018-11-28,monthly_control,-6.687912711977103e-05
2018-11-29,monthly_control,0.0002380364275581928
2018-11-30,monthly_control,6.587627168964027e-05
2018-12-03,monthly_control,2.8198336010204147e-05
2018-12-04,monthly_control,-0.00011388756733376939
2018-12-05,monthly_control,-8.53004446200404e-06
2018-12-06,monthly_control,-7.225332395402548e-05
2018-12-07,monthly_control,3.965129422680804e-06
2018-12-10,monthly_control,-5.2557024158759146e-05
2018-12-11,monthly_control,2.3511533395572434e-06
2018-12-12,monthly_control,5.05116750832322e-05
2018-12-13,monthly_control,3.171177907768737e-05
2018-12-14,monthly_control,7.839313836688518e-05
2018-12-17,monthly_control,-3.473857686637615e-05
2018-12-18,monthly_control,-1.712394076180436e-05
2018-12-19,monthly_control,3.661857551004975e-05
2018-12-20,monthly_control,-9.373039170718338e-05
2018-12-21,monthly_control,0.00017631737942891195
2018-12-24,monthly_control,-7.523753080318279e-05
2018-12-25,monthly_control,8.9272556070474e-05
2018-12-26,monthly_control,3.919839039056932e-05
2018-12-27,monthly_control,0.0002328155058235002
2018-12-28,monthly_control,-9.833157936689875e-05
2019-01-02,monthly_control,-9.280176759497759e-05
2019-01-03,monthly_control,-0.00012392746446735457
2019-01-04,monthly_control,-5.0413979255407686e-05
2019-01-07,monthly_control,3.858591779273314e-05
2019-01-08,monthly_control,6.627883640017418e-05
2019-01-09,monthly_control,8.938155834940786e-05
2019-01-10,monthly_control,-9.493020791970317e-07
2019-01-11,monthly_control,4.730597557245169e-05
2019-01-14,monthly_control,-3.514155953618847e-05
2019-01-15,monthly_control,0.00010263194459650751
2019-01-16,monthly_control,2.1730571006263835e-05
2019-01-17,monthly_control,6.552728591959498e-06
2019-01-18,monthly_control,0.00011578339706932832
2019-01-21,monthly_control,0.00012495801969894613
2019-01-22,monthly_control,-2.7841063537187467e-05
2019-01-23,monthly_control,-2.723053709784021e-05
2019-01-24,monthly_control,-4.070429532223164e-06
2019-01-25,monthly_control,5.663130286701545e-05
2019-01-28,monthly_control,-5.129233426217413e-05
2019-01-29,monthly_control,5.7204204320113715e-05
2019-01-30,monthly_control,-4.6140488371102526e-05
2019-01-31,monthly_control,0.0001299505166293632
2019-02-01,monthly_control,6.023628109627643e-06
2019-02-11,monthly_control,6.6860629639657e-05
2019-02-12,monthly_control,-1.934016227916587e-05
2019-02-13,monthly_control,3.909584711259302e-05
2019-02-14,monthly_control,5.763170216297646e-05
2019-02-15,monthly_control,-0.00011148502017008797
2019-02-18,monthly_control,1.4555348071956103e-05
2019-02-19,monthly_control,-9.983256917824404e-05
2019-02-20,monthly_control,-4.134163969115071e-06
2019-02-21,monthly_control,3.14756212949404e-05
2019-02-22,monthly_control,-9.911900622495019e-05
2019-02-25,monthly_control,4.97611072650464e-06
2019-02-26,monthly_control,-7.172930741391245e-05
2019-02-27,monthly_control,4.975828818999672e-05
2019-02-28,monthly_control,8.787157883123468e-05
2019-03-01,monthly_control,0.00010963563930450025
2019-03-04,monthly_control,0.00010134666132461832
2019-03-05,monthly_control,-4.895098747572627e-05
2019-03-06,monthly_control,-0.000168664569029284
2019-03-07,monthly_control,-0.0001793617724344897
2019-03-08,monthly_control,5.387214039665085e-05
2019-03-11,monthly_control,6.569324344427724e-06
2019-03-12,monthly_control,-3.324989459475847e-05
2019-03-13,monthly_control,2.067070631517386e-05
2019-03-14,monthly_control,0.0001832664299111341
2019-03-15,monthly_control,6.290830761478431e-05
2019-03-18,monthly_control,0.0002618346149517283
2019-03-19,monthly_control,-6.915328426749818e-05
2019-03-20,monthly_control,2.402152968569444e-05
2019-03-21,monthly_control,-0.00014195554688423628
2019-03-22,monthly_control,7.701505927368941e-05
2019-03-25,monthly_control,-0.0002867451314059206
2019-03-26,monthly_control,0.00014127498009537274
2019-03-27,monthly_control,0.00016651865513223497
2019-03-28,monthly_control,6.819051179922896e-05
2019-03-29,monthly_control,9.142392012818391e-05
2019-04-01,monthly_control,7.889308172471035e-05
2019-04-02,monthly_control,-1.7447927627952205e-05
2019-04-03,monthly_control,-4.259821257003365e-05
2019-04-04,monthly_control,0.000227680725050181
2019-04-08,monthly_control,0.0002229392281388351
2019-04-09,monthly_control,-6.097672786586119e-05
2019-04-10,monthly_control,-1.6341303120070722e-05
2019-04-11,monthly_control,-0.00013520415694210286
2019-04-12,monthly_control,1.2969942907226084e-05
2019-04-15,monthly_control,7.584614992916941e-05
2019-04-16,monthly_control,0.0001256368930878304
2019-04-17,monthly_control,5.270424223871302e-05
2019-04-18,monthly_control,2.154654890172865e-05
2019-04-19,monthly_control,2.857436430510861e-05
2019-04-22,monthly_control,-7.672456498649359e-05
2019-04-23,monthly_control,0.00012653305871590276
2019-04-24,monthly_control,2.7467102719953406e-05
2019-04-25,monthly_control,-2.4562126646581785e-05
2019-04-26,monthly_control,-8.881162367676545e-05
2019-04-29,monthly_control,0.00031851748123774446
2019-04-30,monthly_control,-2.2684646221131106e-05
2019-05-06,monthly_control,-0.00020205779665380744
2019-05-07,monthly_control,0.0001366559841431067
2019-05-08,monthly_control,-0.00025880060341359513
2019-05-09,monthly_control,-0.00023048087895758112
2019-05-10,monthly_control,0.00012961880386113452
2019-05-13,monthly_control,-5.5403357930335854e-05
2019-05-14,monthly_control,-0.00012896799144231823
2019-05-15,monthly_control,0.00040357299784642923
2019-05-16,monthly_control,0.00011794936125429428
2019-05-17,monthly_control,-1.0968932159842026e-05
2019-05-20,monthly_control,-0.00021044930768080762
2019-05-21,monthly_control,-2.113493087518392e-05
2019-05-22,monthly_control,-0.0001018452075764256
2019-05-23,monthly_control,-0.00023658760410680962
2019-05-24,monthly_control,8.133000259980894e-05
2019-05-27,monthly_control,1.879775538285054e-05
2019-05-28,monthly_control,8.208169598089121e-05
2019-05-29,monthly_control,-6.983959243771817e-05
2019-05-30,monthly_control,2.106097072701596e-05
2019-05-31,monthly_control,-0.00014859472323395053
2019-06-03,monthly_control,-9.032369437966901e-05
2019-06-04,monthly_control,-0.00014669138084098202
2019-06-05,monthly_control,2.832487759530126e-05
2019-06-06,monthly_control,-1.1006276236266103e-05
2019-06-10,monthly_control,0.00036741023957583083
2019-06-11,monthly_control,0.00030322867615226526
2019-06-12,monthly_control,-0.000172322989993172
2019-06-13,monthly_control,-9.09941737296568e-05
2019-06-14,monthly_control,-9.182957242442736e-05
2019-06-17,monthly_control,4.3656604592358155e-05
2019-06-18,monthly_control,7.499262012621282e-05
2019-06-19,monthly_control,0.00014304297343206186
2019-06-20,monthly_control,1.6714107403496825e-05
2019-06-21,monthly_control,-0.0001045448603760506
2019-06-24,monthly_control,2.240595151584276e-05
2019-06-25,monthly_control,-0.00022043791897996112
2019-06-26,monthly_control,8.270216635560641e-05
2019-06-27,monthly_control,0.00016972411370396812
2019-06-28,monthly_control,-2.527742431557246e-05
2019-07-01,monthly_control,0.0004892873453758734
2019-07-02,monthly_control,-6.051994998015344e-05
2019-07-03,monthly_control,-0.0002131503656259612
2019-07-04,monthly_control,-9.671424285894533e-05
2019-07-05,monthly_control,0.00016196039959436438
2019-07-08,monthly_control,-6.57579528563013e-05
2019-07-09,monthly_control,-4.2311104725382834e-05
2019-07-10,monthly_control,3.363292168170838e-05
2019-07-11,monthly_control,-7.606557494439607e-05
2019-07-12,monthly_control,0.00014558754008680834
2019-07-15,monthly_control,-6.918874510613562e-05
2019-07-16,monthly_control,-5.696464173941254e-05
2019-07-17,monthly_control,-3.21685624381469e-05
2019-07-18,monthly_control,-0.0002107014973254614
2019-07-19,monthly_control,3.1253527496633363e-06
2019-07-22,monthly_control,2.232886470779176e-06
2019-07-23,monthly_control,-3.052013606927946e-05
2019-07-24,monthly_control,-9.749293340603413e-06
2019-07-25,monthly_control,6.921177501334019e-05
2019-07-26,monthly_control,-1.3688186988661515e-05
2019-07-29,monthly_control,5.405993062029582e-05
2019-07-30,monthly_control,-2.8357521902222082e-05
2019-07-31,monthly_control,-0.00020937444063113598
