date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2020-08-13,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-14,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-17,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-18,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-19,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-20,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-21,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-24,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-25,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-26,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-27,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-28,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-31,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-01,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-02,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-03,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-04,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-07,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-08,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-09,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-10,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-11,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-14,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-15,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-16,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-17,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-18,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-21,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-22,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-23,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-24,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-25,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-28,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-29,4.464187554517454e-16,4.643304082765789e-16,7.118447278859816e-16,0.0,0.0011263359095105938,0.31153285887715004,0.3115328588792109,0.06427495006047362,0.31153285886918275,1.3740447154487945e-07
2020-09-30,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-09,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-12,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-13,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-14,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-15,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-16,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-19,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-20,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-21,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-22,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-23,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-26,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-27,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-28,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-29,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-10-30,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-02,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-03,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-04,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-05,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-06,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
