month,improved_rrp_monthly_return,hs300_etf_monthly_return,excess_return,strategy_outperformed,strategy_positive_hs300_negative,strategy_negative_hs300_positive
2021-04,0.01133969198437823,0.015445544554454793,-0.0041058525700765625,False,False,False
2021-05,0.008025290410824448,0.040951638065521934,-0.032926347654697485,False,False,False
2021-06,0.0022246079348018366,-0.01536155863619304,0.017586166570994877,True,True,False
2021-07,0.006420141475381946,-0.07305936073059383,0.07947950220597577,True,True,False
2021-08,0.006607291971184592,0.0014367816091951369,0.0051705103619894555,True,False,False
2021-09,-0.0029467121119148842,0.011477761836442113,-0.014424473948356997,False,False,True
2021-10,0.0007368656614890057,0.009321175278621974,-0.008584309617132968,False,False,False
2021-11,0.0020226705827259828,-0.014053402931138992,0.016076073513864975,True,True,False
2021-12,0.007774885709744606,0.019751578090003052,-0.011976692380258447,False,False,False
2022-01,-0.008238438032852291,-0.07645511228096269,0.0682166742481104,True,False,False
2022-02,0.010301451931790773,0.003732981993851192,0.0065684699379395806,True,False,False
2022-03,0.008051998306316088,-0.07143917752419537,0.07949117583051146,True,True,False
2022-04,0.0008158691592197176,5.3223126642576446e-05,0.0007626460325771411,True,False,False
2022-05,0.00821269968127547,0.018430884184309493,-0.010218184503034022,False,False,False
2022-06,-0.002655663176209355,0.10247004157495687,-0.10512570475116623,False,False,True
2022-07,0.0021933921696573044,-0.06388642413487144,0.06607981630452875,True,True,False
2022-08,0.0006531823212718724,-0.018720379146919708,0.01937356146819158,True,True,False
2022-09,-0.004982804519308326,-0.06592610480560246,0.06094330028629413,True,False,False
2022-10,0.0013962455542848584,-0.07833505687693909,0.07973130243122395,True,True,False
2022-11,0.00975946716525744,0.05617067242776108,-0.04641120526250364,False,False,False
2022-12,-0.003033083286691829,0.00690360521605804,-0.009936688502749869,False,False,True
2023-01,0.006974369019289828,0.07272095159214564,-0.06574658257285582,False,False,False
2023-02,0.0019531697304049356,-0.02115893243568212,0.023112102166087056,True,True,False
2023-03,0.0031943534617555613,-0.005158437730287679,0.00835279119204324,True,True,False
2023-04,0.002936412988592263,-0.006172839506172645,0.009109252494764908,True,True,False
2023-05,-6.778413345598366e-05,-0.055403726708074474,0.05533594257461849,True,False,False
2023-06,0.013168724287544453,0.021041557075223594,-0.00787283278767914,False,False,False
2023-07,0.012050019121701672,0.052035033487893845,-0.03998501436619217,False,False,False
2023-08,0.0012495801115128824,-0.0599902056807049,0.06123978579221778,True,True,False
2023-09,-0.006233640435840515,-0.01953633758791329,0.013302697152072773,True,False,False
2023-10,-0.002050650794778064,-0.03188097768331566,0.029830326888537595,True,False,False
2023-11,0.007106451571678107,-0.022502744237102634,0.02960919580878074,True,True,False
2023-12,0.0033403021047699877,-0.017686692869174347,0.021026994973944335,True,True,False
2024-01,-0.010865082700960316,-0.05946389998471302,0.048598817283752704,True,False,False
2024-02,0.016233604505651478,0.08721291123525798,-0.0709793067296065,False,False,False
2024-03,0.018008647833748226,0.006565800742221128,0.011442847091527097,True,False,False
2024-04,0.005441446846261355,0.020419739081112054,-0.014978292234850699,False,False,False
2024-05,0.008313987691237923,-0.004446914952751735,0.012760902643989658,True,True,False
2024-06,-0.0007640931442656207,-0.02652149637074297,0.02575740322647735,True,False,False
2024-07,-0.006542299327301326,0.006022368798394462,-0.012564668125695788,False,False,True
2024-08,0.003032439790329855,-0.03306727480045635,0.0360997145907862,True,True,False
2024-09,0.008743020377543598,-0.01886052628681223,0.027603546664355827,True,True,False
2024-10,0.0049439237127681945,-0.050294780599134725,0.05523870431190292,True,True,False
2024-11,0.005535648491812539,0.007554772097708051,-0.002019123605895512,False,False,False
2024-12,0.0036834846324851345,0.00524868782804222,-0.0015652031955570855,False,False,False
2025-01,0.006008830155416867,-0.02859273993038236,0.03460157008579923,True,True,False
2025-02,-0.007208204332080026,0.022267724596877203,-0.02947592892895723,False,False,True
2025-03,0.002038364574102003,-0.0025037556334501776,0.0045421202075521805,True,True,False
2025-04,0.016116258642297376,0.039713250838264935,-0.02359699219596756,False,False,False
2025-05,0.006487439140460571,0.02405587170201784,-0.017568432561557268,False,False,False
2025-06,0.011879246043492442,0.02846066535357239,-0.016581419310079948,False,False,False
