candidate_id,candidate_name,selected,primary_selected,exploratory_selected,selection_score,sharpe,calmar,max_drawdown,cvar,annual_turnover,avg_monthly_turnover,turnover_penalty,cvar_penalty,budget_penalty,max_weight,lookback_days,covariance_method,reject_reason,notes,lambda_cvar,lambda_turnover,return_reward,lambda_ref,lambda_budget,upper_bound_i,turnover_cap,portfolio_vol_cap,cvar_alpha,covariance_estimator,lookback_window,Sharpe,Calmar,CVaR_daily_loss,net_return,average_monthly_turnover,solver_fallback_rate,oos_selection_count
candidate_21,candidate_21,False,False,False,-99.0299808563886,0.32690298620350156,1.837474735451123,-0.014145328899530463,0.00218811540883941,6.106902224656328e-17,5.080242992132363e-18,0.01,0.08,0.1,0.45,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.08,0.08,0.1,0.45,0.8,0.0,0.95,ewma,252,0.32690298620350156,1.837474735451123,0.00218811540883941,0.02599168447753386,5.080242992132363e-18,0.7988505747126436,0
candidate_22,candidate_22,False,False,False,-99.05255938207671,0.2719537453082785,1.9299624931857566,-0.012942918200018472,0.0021262539730750435,5.759614749137719e-17,4.791339600714787e-18,0.01,0.08,0.1,0.45,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.1,0.1,0.1,0.45,0.8,0.0,0.95,ewma,252,0.2719537453082785,1.9299624931857566,0.0021262539730750435,0.024979346678406955,4.791339600714787e-18,0.8045977011494253,0
candidate_23,candidate_23,False,False,False,-98.60729898478658,0.9084544228542846,1.383561692454672,-0.031863017651534986,0.0035063970983673677,0.2059950912427849,0.01713643153601854,0.02,0.08,0.1,0.45,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.06,0.06,0.1,0.45,0.8,0.025,0.95,ewma,252,0.9084544228542846,1.383561692454672,0.0035063970983673677,0.044084450628670835,0.01713643153601854,0.09195402298850575,0
candidate_24,candidate_24,False,False,False,-98.7631674698721,0.8384203745180384,1.425341365483101,-0.031625933869384504,0.003943497957729993,0.446656055146237,0.03715666651561388,0.02,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.06,0.06,0.1,0.45,0.8,0.03,0.95,ewma,252,0.8384203745180384,1.425341365483101,0.003943497957729993,0.045077751766066765,0.03715666651561388,0.09195402298850575,0
candidate_25,candidate_25,False,False,False,-98.56657307134321,0.9631099839190251,1.4330056857162365,-0.03281844149053381,0.003707949068739182,0.2924159962770325,0.02432566072330392,0.02,0.08,0.1,0.45,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.08,0.08,0.1,0.45,0.8,0.025,0.95,ewma,252,0.9631099839190251,1.4330056857162365,0.003707949068739182,0.047029013252280594,0.02432566072330392,0.09195402298850575,0
candidate_26,candidate_26,False,False,False,-98.82758478185498,0.9089877454922687,1.2533756362895285,-0.038953027955898833,0.004166536435689333,0.5784264172229114,0.04811845096678776,0.02,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.08,0.08,0.1,0.45,0.8,0.03,0.95,ewma,252,0.9089877454922687,1.2533756362895285,0.004166536435689333,0.04882277619962849,0.04811845096678776,0.09195402298850575,0
candidate_27,candidate_27,False,False,False,-98.51676339926577,1.0179581002483666,1.5322870811684484,-0.03215767523576718,0.003801175517560476,0.3810686540280263,0.031700546167760836,0.02,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.1,0.1,0.1,0.45,0.8,0.025,0.95,ewma,252,1.0179581002483666,1.5322870811684484,0.003801175517560476,0.04927479032417659,0.031700546167760836,0.09195402298850575,0
candidate_28,candidate_28,False,False,False,-98.89760399102828,0.9210161001876737,1.2375975208193692,-0.0404221288763712,0.0042926750963248675,0.6955702335417451,0.05786347438508699,0.02,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.1,0.1,0.1,0.45,0.8,0.03,0.95,ewma,252,0.9210161001876737,1.2375975208193692,0.0042926750963248675,0.05002632648363803,0.05786347438508699,0.09195402298850575,0
candidate_29,candidate_29,False,False,False,-99.29603359749227,0.2837358721121016,1.2006586582732124,-0.021986292092430748,0.0026881788088946143,0.010289343811797436,0.0008559555216469198,0.01,0.08,0.1,0.4,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.4,0.8,0.0,0.95,ewma,252,0.2837358721121016,1.2006586582732124,0.0026881788088946143,0.026398031964100843,0.0008559555216469198,0.9367816091954023,0
candidate_30,candidate_30,False,False,False,-99.49409644877318,0.9754410620949348,1.3839743415523096,-0.038202448793587696,0.004397061999300396,2.3162682724952566,0.1926869831275999,0.01,0.08,0.1,0.45,252,sample,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.45,0.8,0.0,0.95,sample,252,0.9754410620949348,1.3839743415523096,0.004397061999300396,0.05287120891479136,0.1926869831275999,0.028735632183908046,0
candidate_31,candidate_31,False,False,False,-99.43492715789547,0.9976564278473563,1.5244824322710369,-0.03532781898071258,0.004420298367446534,2.343329378591025,0.19493815711966617,0.01,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.45,0.8,0.0,0.9,ewma,252,0.9976564278473563,1.5244824322710369,0.004420298367446534,0.05385663940654761,0.19493815711966617,0.028735632183908046,0
candidate_32,candidate_32,False,False,False,-98.94390437284669,0.425338645236874,1.8021628054755225,-0.01585375655928034,0.0024898464167022035,0.0,0.0,0.02,0.1,0.35,0.4,180,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.1,0.02,0.05,0.05,0.35,0.4,0.35,0.0,0.95,ewma,180,0.425338645236874,1.8021628054755225,0.0024898464167022035,0.028571050398198627,0.0,1.0,0
candidate_33,candidate_33,False,False,False,-99.29234992797238,0.28038447812047934,1.2207588397346842,-0.02155723280603239,0.0026787259381818584,0.008440205812404478,0.0007021284253987824,0.01,0.08,0.1,0.4,180,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.4,0.8,0.0,0.95,ewma,180,0.28038447812047934,1.2207588397346842,0.0026787259381818584,0.026316182508182573,0.0007021284253987824,0.9367816091954023,0
candidate_34,candidate_34,False,False,False,-101.65292869595014,0.8821649278228726,1.3375633394595732,-0.04026130870403821,0.004982446281667256,6.773845344251429,0.5635063256945851,0.0,0.05,0.05,0.45,120,ewma,turnover_gate;solver_fallback;net_return_deterioration;cvar_worse,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.05,0.0,0.06,0.06,0.05,0.45,1.0,0.0,0.95,ewma,120,0.8821649278228726,1.3375633394595732,0.004982446281667256,0.053852050521186134,0.5635063256945851,0.028735632183908046,0
candidate_35,candidate_35,False,False,False,-98.9439037471348,0.42533854308571123,1.8021648850842746,-0.015853730781359876,0.002489842475633002,0.0,0.0,0.03,0.2,0.35,0.4,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.2,0.03,0.05,0.05,0.35,0.4,0.35,0.0,0.9,ewma,252,0.42533854308571123,1.8021648850842746,0.002489842475633002,0.02857103691174645,0.0,1.0,0
candidate_36,candidate_36,False,False,False,-100.14837035279436,0.9466852931209765,1.1309862040452139,-0.04753666862746686,0.004685836989616117,3.2161596571523026,0.26754763640818396,0.02,0.1,0.1,0.4,120,sample,turnover_gate;solver_fallback;net_return_deterioration;cvar_worse,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.1,0.02,0.05,0.05,0.1,0.4,,0.0,0.95,sample,120,0.9466852931209765,1.1309862040452139,0.004685836989616117,0.05376331640393395,0.26754763640818396,0.028735632183908046,0
