schedule_year,calibration_start,calibration_end,validation_start,validation_end,variance_penalty,shortfall_penalty,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,sharpe_standard_error,quarterly_sharpe_median,quarterly_sharpe_min,solver_count,future_information_count,variance_rank,shortfall_rank,within_one_standard_error,selected
2019,2016-12-08,2017-12-18,2017-12-19,2018-12-28,0.1014999059442195,66.09843909069586,Global RRP,0.0029244207212661,0.002503419663149,0.0004210010581171,0.037049007005101,0.0862446508040694,0.0675704928557022,0.1110811462113814,-0.0441709749167514,0.0566756714758324,0.002503419663149,0.1075930035880427,1.3659852387350913,0.0060748526607556,1.0019974454840483,0.4037232304850374,-0.8237832020460619,53,0,1,1,True,False
2019,2016-12-08,2017-12-18,2017-12-19,2018-12-28,0.1014999059442195,244.70137762311143,Global RRP,0.0029439692801174,0.0025219081954654,0.0004220610846519,0.0370506365297498,0.0867422261048398,0.0680665281807109,0.1117242247110623,-0.0441732098058765,0.0570913503127407,0.0025219081954654,0.107862090981255,1.369401533427124,0.0060751677097962,1.001997531044216,0.4037231784840815,-0.8230248007992472,53,0,1,2,True,False
2019,2016-12-08,2017-12-18,2017-12-19,2018-12-28,0.1331415271243842,24.72360050161022,Global RRP,0.0057997768400386,0.0053590987656639,0.0004406780743746,0.0353559999632012,0.1694169621876397,0.1515753697036363,0.2190038526558951,-0.0423880449025051,0.1264294868515452,0.0053590987656639,0.1123124957566381,1.425903229883575,0.0057634788277492,1.0020185822913292,0.5750919364446725,-0.825079668540574,53,0,2,0,True,False
2019,2016-12-08,2017-12-18,2017-12-19,2018-12-28,0.1331415271243842,66.09843909069586,Global RRP,0.0058552956460877,0.0054114515276291,0.0004438441184586,0.0353612767214201,0.1708754186615357,0.153033262069724,0.2209026208600685,-0.0423960234323255,0.1276405447852232,0.0054114515276291,0.1131139875678132,1.436078854194837,0.0057644199654731,1.002019075619712,0.5750932906711305,-0.8227388813598258,53,0,2,1,True,False
2019,2016-12-08,2017-12-18,2017-12-19,2018-12-28,0.1331415271243842,244.70137762311143,Global RRP,0.005880873286959,0.0054355419630165,0.0004453313239425,0.035363696026279,0.1715463984850136,0.1537040121308967,0.2217761890347643,-0.0423996005371418,0.1281979522013428,0.0054355419630165,0.1134905386146551,1.440859491917209,0.0057648442981055,1.0020193040013257,0.5750942034822031,-0.8216593058808943,53,0,2,2,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1012387471941294,9.38487777188476,Global RRP,0.0993298259690242,0.0986200845579408,0.0007097414110834,0.0276218671372563,3.433045447159049,3.5703627154488062,5.816383793177183,-0.0128516525343961,7.673727895614534,0.0986200845579408,0.1656207074535466,2.085964255083031,0.0033244713634832,1.0136378816245286,3.579929144317106,2.7405733002941965,54,0,0,0,True,True
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1012387471941294,92.42440979230932,Global RRP,0.0994877698458513,0.0987405743161771,0.0007471955296742,0.0279401573933239,3.398194190379162,3.534002079020864,5.729122225279528,-0.01314838966331,7.509708553261721,0.0987405743161771,0.1743399752513944,2.19578192967489,0.0033895940163958,1.0134039162747348,3.5395161744687,2.676477462350061,54,0,0,1,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1012387471941294,1963.531500602262,Global RRP,0.0995057493269759,0.0987536892673091,0.0007520600596668,0.0279809210984395,3.3937125995704656,3.5293223164414145,5.717918243726876,-0.013185262947024,7.489701924344111,0.0987536892673091,0.1754726613884966,2.2100479162809794,0.0033980212719889,1.013373999550564,3.53439546958388,2.6683641864700083,54,0,0,2,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1302535868490256,9.38487777188476,Global RRP,0.0972171604689102,0.0964643058576115,0.0007528546112987,0.0270414846432047,3.4331909732172705,3.5672710700021404,5.840189188982003,-0.0125952975421627,7.658755621667347,0.0964643058576115,0.1760239136771989,2.216990843813686,0.0032462034187847,1.0136388634691456,3.559632684111713,2.759237922429709,54,0,1,0,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1302535868490256,92.42440979230932,Global RRP,0.0973995899849409,0.0965999625945854,0.0007996273903554,0.0274321123538,3.3892188850958744,3.521419034331275,5.72994023052517,-0.0129576590520933,7.455047412980011,0.0965999625945854,0.1869345767078785,2.3544087635362976,0.0033286533185364,1.0133440406511935,3.5434936566064765,2.68248518583383,54,0,1,1,True,False
