date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2019-06-20,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-21,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-24,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-25,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-26,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-27,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-28,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-01,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-02,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-03,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-04,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-05,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-08,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-09,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-10,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-11,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-12,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-15,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-16,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-17,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-18,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
