rebalance_date,可转债ETF,5年国债ETF,10年国债ETF,信用债ETF,日利ETF,沪深300ETF,中证500ETF,中证1000ETF,中证2000ETF,创业板ETF,红利ETF,半导体ETF,人工智能ETF,新能源ETF,科创50ETF,证券ETF,军工ETF,消费ETF,恒生ETF,白银LOF,纳指ETF,标普500ETF,日经225ETF,欧洲ETF,黄金ETF,有色金属期货ETF,能源化工期货ETF,豆粕ETF,煤炭ETF,原油ETF
2020-07-31,1.8797199323779582e-10,0.0273418507719721,0.0481839559874734,0.0145023062595312,0.8187242241104742,0.0063740905045695,0.0059562834672629,0.0014562276111694,0.0,0.0065611715430876,0.0059998541735892,2.007082179372736e-10,0.0,0.0,0.0,0.0073130595833575,0.0075115410497195,0.0072205902022228,0.0071551777608989,0.0069298355840672,0.0056710355231209,0.0054532213770196,1.973771235387741e-10,0.0054802311667367,0.0072348571028782,2.152932589894408e-10,2.015516305213847e-10,4.765765192471024e-10,1.853302220339444e-10,0.0049304845560395
2020-08-07,1.9066950890503477e-10,0.0271487732466901,0.0479362021991206,0.0144425779530699,0.81577849349576,0.0064813380056888,0.0061758713653307,0.0015375637704234,0.0,0.0066994205663007,0.0061525116269656,2.1417103121496243e-10,0.0,0.0,0.0,0.0077346343535635,0.0082914139364381,0.0072235978540878,0.0071053784391171,0.0079239371661818,0.0058311340177956,0.0055638788957268,1.9460254183720358e-10,0.0054232434654054,0.0075142621646351,2.2570842550713702e-10,2.1209659738490243e-10,4.72280115867002e-10,1.9414755312205388e-10,0.0050357657740225
2020-08-14,1.889299029699912e-10,0.027133241912305,0.048022998364899,0.0144890440537688,0.8178194912984611,0.0063258921337155,0.0059818883461119,0.0014704251688164,0.0,0.0062601395975399,0.0062068473050078,2.0156460328871067e-10,0.0,0.0,0.0,0.0073174321844053,0.0079796305256528,0.0070963903521753,0.0072191624568259,0.0073417845074648,0.005907964902711,0.0056686797138905,2.0036655976290815e-10,0.0055542783175574,0.0070138979255269,2.345057899606315e-10,2.2817218563379715e-10,4.84690992236953e-10,2.0525887915291742e-10,0.0051908091896747
2020-08-21,1.9372989396261748e-10,0.0270864620381991,0.0478825907130558,0.014531478238781,0.8177434237064088,0.0063986674625215,0.0060299731790706,0.0014866568598141,0.0,0.0061784066719742,0.0063299617737626,1.9828914245162002e-10,0.0,0.0,0.0,0.0074570573296439,0.0079967784285627,0.0072693077684474,0.0070719866192883,0.0073318274705615,0.0059812734405082,0.0056252097331926,2.0027573699756167e-10,0.0055023619455002,0.0070696216549347,2.49689809621358e-10,2.3629006118643924e-10,4.922422783337867e-10,2.1859256401805738e-10,0.0050269531766624
2020-08-28,1.8768926649107464e-10,0.0269171711561827,0.0476761997987309,0.0145236683925135,0.8171303990450746,0.0064677667381486,0.0060123406314726,0.0014974373121041,0.0,0.0064163805859583,0.0062091706600438,1.8538153910456046e-10,0.0,0.0,0.0,0.0073307206589659,0.0076588102383869,0.0076772746643181,0.0071831194346368,0.0072168106426794,0.0065672214781907,0.0058575952427462,1.9401586193619692e-10,0.0056105755048171,0.0070971323472744,2.46492919911524e-10,2.337196354168089e-10,4.896895873249294e-10,2.1142329411996627e-10,0.0049502037193425
2020-09-04,1.7173005594200478e-10,0.0268938299973898,0.0476872255547133,0.0144517015426029,0.8152788630272308,0.0065653364534282,0.0060738551325394,0.0015134460487494,0.0,0.0065252597936805,0.0062289705423639,1.6211308265177438e-10,0.0,0.0,0.0,0.0074600539697273,0.0078379065859088,0.0078929506066319,0.0070569589561845,0.0071041795086007,0.0076554027974162,0.0062917031388699,1.7392396870385896e-10,0.0056503311317811,0.0069840414396585,2.3130843086435875e-10,2.2119624531805595e-10,4.678035248948998e-10,1.9755157742811702e-10,0.0048479821468953
2020-09-11,1.1873905001271643e-10,0.0270460094427888,0.0481319293839593,0.0145161505266044,0.8196544873332198,0.0062803761481934,0.0057243548119521,0.0014087883244373,0.0,0.005939626065748,0.0061225517644228,0.0,0.0,0.0,0.0,0.0070440687102735,0.007249605459525,0.0072351181321248,0.0069167876984629,0.0071123586610796,0.0066341865207534,0.0056302878682978,1.2110686447421596e-10,0.0056039811211296,0.0070930812181217,1.7743060116402832e-10,1.6996126124465195e-10,4.2774222372663165e-10,1.4702160182659395e-10,0.0046562496469034
2020-09-18,0.0,0.0270478127733381,0.0479222339809449,0.0145113889658613,0.820422843903911,0.0063397026732152,0.0058378578758693,0.0014557816264582,0.0,0.0061016096595526,0.0061668855825041,0.0,0.0,0.0,0.0,0.0069768905147227,0.0072679040051749,0.0071220320107912,0.0068437864444295,0.0069412245181253,0.0064052590012544,0.0055080228118749,0.0,0.0054884740675806,0.0070351110768203,1.4951944816892676e-10,1.4398736606722931e-10,4.015070220280418e-10,1.166521587046931e-10,0.0046051776959048
2020-09-25,0.0,0.0271931346005463,0.0482107954785154,0.0145584715457631,0.8226762307456643,0.0062810729000383,0.0057560702523705,0.0014313841220158,0.0,0.0060833693906764,0.0060681878078774,0.0,0.0,0.0,0.0,0.0071960951009121,0.0072983863812152,0.0070254137975849,0.0066218717331292,0.005982594963378,0.006009320724536,0.0053302811900089,0.0,0.0052277413447505,0.006740357488279,0.0,0.0,3.2487438910442515e-10,0.0,0.0043092201078635
2020-09-30,0.0,0.0270829373185949,0.0480607064838462,0.0144812922605263,0.8219312610729179,0.006305449510171,0.0057194683188531,0.0014187667953984,0.0,0.0061374205796516,0.0060513493393283,0.0,0.0,0.0,0.0,0.0073121691100366,0.0075167575831757,0.007116076269552,0.0066133346182355,0.0060019176231141,0.0063134389837677,0.005516100128602,0.0,0.0053004083738826,0.0068895088121917,0.0,0.0,2.6691376927411665e-10,0.0,0.0042316365512397
2020-10-09,0.0,0.0270634578918235,0.0479508797372984,0.014507050155964,0.8221547121860677,0.0062843786428457,0.0056783601530611,0.0014105951990244,0.0,0.0061600928432045,0.0060335304555466,0.0,0.0,0.0,0.0,0.0072082538971804,0.007521113899324,0.0071267416689279,0.0066420377357456,0.0060539395129789,0.0063923109619429,0.0054551614862014,0.0,0.0053085371229695,0.0068906451673099,0.0,0.0,2.7720414790525765e-10,0.0,0.0041582010053783
2020-10-16,0.0,0.0269082918627061,0.0475840824782379,0.0145410419406482,0.820341400850519,0.0065678233314952,0.0059202700328411,0.0014778701545829,0.0,0.0065431249285771,0.0061474533621147,0.0,0.0,0.0,0.0,0.0073817920055427,0.0078269599274186,0.0074882158278008,0.0067807520520452,0.0060936215090539,0.0064164554353354,0.0056344989849845,0.0,0.0053059462092959,0.0068381058047725,0.0,0.0,2.866557742291365e-10,0.0,0.0042022930153716
2020-10-23,0.0,0.0270804901963472,0.0477869899992029,0.0145772993481555,0.821110190407251,0.0065373158329791,0.0057967454552542,0.0014509629360904,0.0,0.0063783763757918,0.0060875246407118,0.0,0.0,0.0,0.0,0.007355659939046,0.0074038170128344,0.0075049656327117,0.0068304284077251,0.0062382581721033,0.0061991047961818,0.0055244864889582,0.0,0.0051699116516933,0.0068709070871411,0.0,0.0,2.922503994456349e-10,0.0,0.0040965653275698
2020-10-30,0.0,0.0270691318429157,0.0478841635938491,0.0146627774007019,0.8222379011519503,0.0065524727933228,0.0057430324955511,0.0014356192560077,0.0,0.0064470771722196,0.0060850822571016,0.0,0.0,0.0,0.0,0.0071012430992847,0.0072807993709549,0.0076257276161543,0.00681718058972,0.0058939139124713,0.0060267273765025,0.0053584979387737,0.0,0.0050118920763053,0.0067916855441938,0.0,0.0,2.8892904223486336e-10,0.0,0.0039750742230897
2020-11-06,0.0,0.0270690036405462,0.0478445787957578,0.0145476319255098,0.8209562496761356,0.0066744221217916,0.0058211093953202,0.0014462975503623,0.0,0.0066378543474156,0.0062605281939387,0.0,0.0,0.0,0.0,0.0070560379661524,0.0074025443535053,0.0075863169116085,0.00701314674868,0.00608318320043,0.0062608100936442,0.0055491323792438,0.0,0.0050059287902393,0.0068546975337026,0.0,0.0,2.9813985203240615e-10,0.0,0.0039305260778753
2020-11-13,0.0,0.0269682509603959,0.0477080780885121,0.0145883738651384,0.8211098877542836,0.0067002775529663,0.0057779321584114,0.0014332116853508,0.0,0.0064293827933243,0.006461265829767,0.0,0.0,0.0,0.0,0.0070401309351986,0.0071026740127276,0.0076341102337073,0.0071633165725848,0.0059854625863243,0.0060004020732138,0.0056662613777981,0.0,0.0052700431710339,0.0066918379591401,0.0,0.0,3.0496819983150024e-10,0.0,0.0042691000851524
2020-11-20,0.0,0.0268853812839538,0.047480254839234,0.0145252334046712,0.8208898106496588,0.0067370719237603,0.0058335883516561,0.0014468039583319,0.0,0.0063027215183801,0.0065568823607374,0.0,0.0,0.0,0.0,0.0070629233271032,0.0074866659919927,0.0076314101361946,0.007182862618194,0.0059173035855253,0.0059677640916394,0.0056577889922835,0.0,0.0052693031976027,0.0066287056717964,0.0,0.0,3.0105565749871315e-10,0.0,0.0045375237962284
2020-11-27,0.0,0.0269068544289954,0.047462023888018,0.0145102928846876,0.8205256683891522,0.0067121922737394,0.0058076263822345,0.001428665181009,0.0,0.0062133172595473,0.0065824128498312,0.0,0.0,0.0,0.0,0.0070566027683968,0.0075555214478625,0.007535109555085,0.0072483017549055,0.0057438623717684,0.0060870480018369,0.0057498780989318,0.0,0.0053682991135048,0.0064173762340821,0.0,0.0,3.001229450091741e-10,0.0,0.0050889468162876
2020-12-04,0.0,0.0268525320345348,0.0473541745156796,0.0145335833449132,0.8193241019515698,0.0068926568776387,0.0058948716790228,0.0014426981192997,0.0,0.0064397451391689,0.0065181314522344,0.0,0.0,0.0,0.0,0.0075112216875979,0.0077533447974911,0.0076519688838725,0.0072290847897826,0.0058333853213868,0.0061947166939813,0.0057642146685308,0.0,0.0054170093752975,0.0064565784707039,0.0,0.0,2.611407814883253e-10,0.0,0.0049359799361522
2020-12-11,0.0,0.0269105401512387,0.0475547295867288,0.0145006539188552,0.8199130386950041,0.0067349341599858,0.0057866286289741,0.0014232944377773,0.0,0.006461523412078,0.0063344127338933,0.0,0.0,0.0,0.0,0.0070036676844022,0.0076598688682647,0.0078249977291416,0.0071289423794837,0.0057614240798322,0.0060942720083215,0.0057788577644222,0.0,0.0054237073368076,0.0064448991012824,0.0,0.0,2.498024905633916e-10,0.0,0.0052596070737033
2020-12-18,0.0,0.0268679383838785,0.0473250779163119,0.0144979051062142,0.8189346145715749,0.0068385433263005,0.0057804141908663,0.0014198320283162,0.0,0.0066173099036908,0.006249773129195,0.0,0.0,0.0,0.0,0.007029677255688,0.0074987921354463,0.0081014349984341,0.0071448386956137,0.0061425268326839,0.0062492198363501,0.005806685906672,0.0,0.0055935938015467,0.0065600393895328,0.0,0.0,2.228509958362527e-10,0.0,0.0053417823688321
2020-12-25,0.0,0.0269290226670118,0.0473971123129884,0.0145081963885068,0.8188853859394104,0.0068054790205879,0.0056924965058078,0.0014048084309893,0.0,0.0066898026813988,0.0061457741920436,0.0,0.0,0.0,0.0,0.0067037552744616,0.0081556208542632,0.0080292262249984,0.0070769589869365,0.0061905200355842,0.0062070063107839,0.0057708275121016,0.0,0.0055540541333418,0.0065884405584756,0.0,0.0,1.7844326480315647e-10,0.0,0.0052655117918642
2020-12-31,0.0,0.0269081133608289,0.0474793853914629,0.0145955357868181,0.8174393412104687,0.0069312767844973,0.0057216893370073,0.0013989927943807,0.0,0.0068554080477452,0.0060823765601169,0.0,0.0,0.0,0.0,0.0069031246209418,0.0084058530428967,0.0082964131740477,0.0072007976475869,0.0063722237931586,0.0063138060791336,0.0058179091474409,0.0,0.0056609383747115,0.0065754520539236,0.0,0.0,0.0,0.0,0.0050413627928315
2021-01-08,0.0,0.0268067208788058,0.047260279092851,0.0143876954193684,0.8134896915453018,0.0074482830685519,0.0059410782713592,0.0014114844752114,0.0,0.0074383784682257,0.0060069354696228,0.0,0.0,0.0,0.0,0.0072827850891734,0.0097583667566066,0.0093201011662031,0.0072575115904606,0.0064123902307107,0.0061176704741491,0.0057666230564016,0.0,0.0056794543141197,0.0066556914132399,0.0,0.0,0.0,0.0,0.0055588592196365
2021-01-15,3.635687640013387e-10,0.0269530825344816,0.0475353226630525,0.0143825310367641,0.8148405566497314,0.0073870638780955,0.0058671959605245,0.0013912923816711,0.0,0.0072835216295005,0.0060310698993901,3.5161097968576837e-10,3.9656315863863896e-10,0.0,0.0,0.0071841962747563,0.0088785633213416,0.0086735275582759,0.007550021575029,0.0058780680343494,0.0062568705490156,0.0058731631520349,4.2040644610823976e-10,0.005631024046882,0.0064438821196173,3.3692979003981555e-10,4.0697394516508115e-10,3.5503469894586327e-10,2.88189354515069e-10,0.0059590438162087
2021-01-22,3.5771881570383415e-10,0.0268479798070448,0.047436765406968,0.014367933832739,0.8132826289280845,0.0074928771713555,0.0060078430734758,0.0014365073181796,0.0,0.0077267208131982,0.0061018989260277,3.4714450556980317e-10,3.956813455015989e-10,0.0,0.0,0.0073379175497181,0.0090618008290064,0.0085284488188368,0.0078724402845723,0.0060107825843853,0.0064453004064147,0.0059254119558881,4.130416807523594e-10,0.0055986758782697,0.0065195238504184,3.412262602549412e-10,4.0056938333548177e-10,3.405728029195721e-10,3.0536146636877653e-10,0.0059985396641002
2021-01-29,3.4444286225101185e-10,0.0268509409912426,0.0474377026389769,0.0144632667314939,0.8164495506741094,0.007280573261622,0.0058576449709718,0.0013749112109587,0.0,0.0074640133092431,0.0058824949256426,3.159477228163156e-10,3.668534512975789e-10,0.0,0.0,0.0068757582816003,0.0083933120702976,0.0085446726960505,0.0075904755045664,0.005832472954424,0.0063401737261616,0.0057694010638907,3.968413588410811e-10,0.005423072841842,0.006433540118527,3.3683146342251237e-10,3.9848919853925016e-10,3.38055111670433e-10,2.9277461174993137e-10,0.0057360192381421
2021-02-05,3.305908070237845e-10,0.0268804321534623,0.0474630449620836,0.0143677438296355,0.8162792970082615,0.0073936813131607,0.0057673216529563,0.0013250550695592,0.0,0.0075567393988222,0.0058065154516571,3.0118445378331206e-10,3.469298789700279e-10,0.0,0.0,0.0065220687060801,0.0078002725517503,0.0088987275474402,0.0076948844286194,0.0060265578016098,0.0064985069812657,0.0058979309848716,3.8682112520959217e-10,0.0055155756114153,0.0063623240247404,3.4372735287318616e-10,4.1198529216126515e-10,3.487333530467503e-10,2.935373686576822e-10,0.0059433177590981
2021-02-10,3.4040803442098763e-10,0.0267274746871926,0.0471322213350092,0.0143642931519598,0.8143174974112535,0.0076660642603546,0.0058490571223011,0.0013439275755462,0.0,0.0078366454327672,0.0059019103060229,3.0834746108530344e-10,3.5036300964269343e-10,0.0,0.0,0.0066499519533276,0.0081237174067553,0.0093469569460623,0.0077285443084914,0.0061420607892193,0.0066028891878049,0.0060172997494552,4.048660672710971e-10,0.0055582518829471,0.0063934784890042,3.5938266642059464e-10,4.2088585704729696e-10,3.6603695039571263e-10,3.0291323739954206e-10,0.0062977551513213
2021-02-19,7.147719452204341e-09,0.0357695674271396,0.0471441837991168,0.0150941457913766,0.8038485899992182,0.0077533981039729,0.0059955929235901,0.0013784975534967,0.0,0.0077783330244818,0.0060857855032538,6.2504922972837534e-09,6.262818886177096e-09,0.0,6.834113881903789e-09,0.0066709817060822,0.0079849525152977,0.0093754540060496,0.0080682049195106,0.0061145414880986,0.006580236870258,0.0060123525150068,8.850750652221531e-09,0.0055075269202833,0.0062119507338367,6.343683613208647e-09,9.019341929395548e-09,1.1828456356151908e-08,5.066340570060192e-09,0.0066256365962118
2021-02-26,7.767073523720527e-09,0.0536711506422368,0.0472514774494509,0.0229191583688978,0.7793072452636602,0.00737389995468,0.00590650891321,0.001374940223656,0.0,0.0069962142021296,0.0062744266306833,6.790552250411711e-09,6.601135445719935e-09,0.0,7.202349505901728e-09,0.0065408972718182,0.0081261496163794,0.0085698814114669,0.0079219578706324,0.0063312353965353,0.0064257549709162,0.0060292194104221,9.501959632976176e-09,0.0056040111786473,0.006250408707838,6.991141408761635e-09,1.044540475618731e-08,1.4264913250833152e-08,5.376439391621796e-09,0.0071253875757693
2021-03-05,2.1986464559993183e-08,0.0651613755057578,0.0643026541528828,0.040713331372998,0.7358763372200036,0.0071381157829461,0.0058281349786052,0.0013881523677178,0.0,0.0067075198142213,0.0063610932895688,1.1543556549567372e-08,1.2503190632801681e-08,0.0,1.353628533753971e-08,0.0062959559867015,0.0079397629290842,0.0080449491779487,0.0077120041734937,0.0058909108393286,0.0061306143218079,0.005887876412484,1.4159082232112866e-08,0.0055425972421096,0.0060026872787076,8.780144607748022e-09,2.427255362681472e-08,1.5958028220551093e-08,6.698726057997608e-09,0.0070757977156001
2021-03-12,2.5114414956879256e-08,0.0651655830273758,0.0731069836675485,0.0407979117928579,0.727674298517318,0.0069256977088547,0.0056597267197072,0.0013383179943846,0.0,0.0064621019918873,0.0063197901699017,1.4082102949587194e-08,1.6021672426174368e-08,0.0,1.6380390076992906e-08,0.0062085861784946,0.0069549959714666,0.0077432856735632,0.0077638239125862,0.005944936840767,0.0062499296596567,0.0061012124350981,1.8583841954513664e-08,0.0059050534700894,0.0061042755347332,1.2158223616428509e-08,2.5611681173319785e-08,2.013749614532302e-08,9.743188639400564e-09,0.0075733309006966
2021-03-19,2.4875117192547308e-08,0.0650128001947445,0.0728064976711652,0.0409679104071562,0.7275414854293718,0.006931747399127,0.005701273204306,0.0013482655061068,0.0,0.0064589316479543,0.0064126098579737,1.310215182232908e-08,1.5272530547991747e-08,0.0,1.5755662804787328e-08,0.0061173933498906,0.0070535131966047,0.0078263930549781,0.0078463503046002,0.0060218682965461,0.006423342158217,0.0061589231589468,1.883553762388461e-08,0.005823982195648,0.0061542167905046,1.1725540491779482e-08,2.5740894794600077e-08,2.0178511993556053e-08,9.606154857934486e-09,0.0073923410840558
2021-03-26,2.4327573445207483e-08,0.0652920355853206,0.0732347874509505,0.0408712630013244,0.729384623088155,0.0066663094165763,0.005625208373069,0.0013328729999106,0.0,0.0062697412741068,0.0062900688057502,1.2678512578898989e-08,1.5183339588317275e-08,0.0,1.5282946390557533e-08,0.0061890975869567,0.0070001956875402,0.0076121672255229,0.0074556545191244,0.005701087813154,0.0062769092917955,0.0060805800042829,1.7776492230550382e-08,0.0057186769611213,0.0061414428849078,1.1396045332630437e-08,2.5122893540171762e-08,2.032663436507816e-08,9.051249583837115e-09,0.006857126884743
2021-04-02,2.410635204501109e-08,0.0651103326342285,0.0730668305918519,0.0409581869099456,0.7276049258278402,0.0068937219191073,0.00573352327323,0.0013607869770546,0.0,0.0066192604483271,0.0064541253839431,1.3000499049441506e-08,1.5260466953503373e-08,0.0,1.5489312397292635e-08,0.0061358844424644,0.0071292300875786,0.0079293500392273,0.0076927854542358,0.0055382542323038,0.0064398366542414,0.0062499298537079,1.7704453776907963e-08,0.0058973366989097,0.006082649180394,1.1206658067542026e-08,2.5621552326265625e-08,2.0766069260763928e-08,9.155450823375e-09,0.0071028970805932
2021-04-09,2.3652581769051242e-08,0.0649967784360854,0.0729219777674195,0.040835517579326,0.7270118814122625,0.0068816687303435,0.0057776483522815,0.0013743242106304,0.0,0.006635892279161,0.0064582985448898,1.3314437762813909e-08,1.5053783760922857e-08,0.0,1.5461794619151793e-08,0.006146347478327,0.007148071496605,0.007977957019839,0.0077142555238095,0.0057310425509388,0.0066929273133645,0.0064016985823446,1.7602960176425656e-08,0.0060221406290443,0.0061590870090925,1.1240963765981004e-08,2.5141099649422813e-08,2.0419910389123e-08,9.07666309802346e-09,0.0071123341200391
2021-04-16,2.314585028412689e-08,0.065225693471587,0.0732328130107371,0.0409154324455316,0.727277163379907,0.0066623194059442,0.0057029464919457,0.0013529257186983,0.0,0.006561793911269,0.0064315140971883,1.2802271693762444e-08,1.4569785847732865e-08,0.0,1.4825753836222958e-08,0.0059517893070001,0.0070247959170769,0.0077822758590634,0.0076369210650311,0.0057632604458129,0.0067762133424283,0.0064712722959153,1.7367508196618395e-08,0.0060357363497762,0.0061546253430002,1.1093732764782113e-08,2.5745118389280376e-08,1.988521745754289e-08,8.9633571055503e-09,0.0070403597434908
2021-04-23,2.3074351806226627e-08,0.0652190624252269,0.0733312877945674,0.0408518053977609,0.726347932371402,0.0068428985754846,0.00584127516475,0.0013900634642743,0.0,0.006889125384944,0.0065100852058812,1.2791689853086968e-08,1.498734439255509e-08,0.0,1.5115220907230365e-08,0.0060889016503493,0.0070274121059678,0.0081020817654642,0.0075845670811862,0.0059134032111992,0.006753632955998,0.0064460891482971,1.6936215399776442e-08,0.0060360859524234,0.0062539369828145,1.094059549653811e-08,2.5941749471814763e-08,2.063326544863207e-08,9.233484434409517e-09,0.0065702037080908
2021-04-30,2.282013603725792e-08,0.065110956060143,0.0731543050188603,0.0408408817832392,0.7255332380759608,0.0069446024473048,0.005878368002502,0.0013727472879787,0.0,0.0071567914960649,0.0064832700246723,1.3025621171041332e-08,1.4363886430152074e-08,0.0,1.507495249849837e-08,0.006090747539512,0.0069619764889797,0.008317900552793,0.0076935419858322,0.0058773677865995,0.0068004258423177,0.0064910168036144,1.6487693441507334e-08,0.0060506264577445,0.0061877738997405,1.1310666418835625e-08,2.6930519211080905e-08,2.013917621752241e-08,9.431660762448352e-09,0.0070533128618273
2021-05-07,2.2627219648541392e-08,0.0652496488979628,0.0733260679532105,0.040863529350022,0.7261423335055952,0.006798668861023,0.0058723912653518,0.0013751487045387,0.0,0.0070450043282389,0.0065154340115968,1.2800885421618143e-08,1.3808833749546658e-08,0.0,1.4731058626172724e-08,0.0059777316755449,0.006797418830589,0.0080253678446616,0.0075317402844507,0.0059937845362423,0.0065714475428995,0.0064599970775992,1.633743534754799e-08,0.0059718927514958,0.0062478905678576,1.1336510603971835e-08,2.8037598731608436e-08,2.047029063587917e-08,9.514947119845485e-09,0.007234352346339
2021-05-14,2.2606264172710943e-08,0.0653416675838611,0.087859786610244,0.0610794619656551,0.6924560276292384,0.0067224441883794,0.0058516913437674,0.0013715180146753,0.0,0.0069063680988922,0.0065499696243769,1.2131398239754564e-08,1.3555483556614794e-08,3.4697486786749956e-10,1.4217711497513026e-08,0.0058879797004376,0.0067409344953407,0.0080402128840863,0.0073090295892231,0.0059844342721955,0.006315684643142,0.0062475559277033,1.5269142209384465e-08,0.005897922430428,0.0063216912505805,1.1299754677722645e-08,2.9303044637014948e-08,2.0577604515893004e-08,9.565115275211732e-09,0.0071154708752784
2021-05-21,2.2115864396536493e-08,0.0653675476877753,0.0932529911987795,0.0608659456017458,0.6847381616429291,0.006950776927572,0.0059351832399058,0.0013905130246114,0.0,0.0073597835945725,0.0063958118692121,1.2165201026137956e-08,1.3586160685194843e-08,8.982907065694965e-10,1.4479732740738962e-08,0.0062919521859809,0.0072015779109095,0.0083635033239756,0.0074282242288112,0.0060746158909602,0.006342774062731,0.0062772266508463,1.5124786877725354e-08,0.0059876863417637,0.0064576621341096,1.0830373329902582e-08,2.6677710407352537e-08,1.9406882725938925e-08,8.717592956105133e-09,0.0073179184802115
