window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2026-08-28,3400,0.06697301554768997,0.04954135531172429,0.8514282776776281,-0.07024843804602288,0.9533737320082899,0.007327771234599347,0.24527982159494396,2.961320505648608
pre_2020,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2019-12-31,1832,0.08091242325828096,0.051621973627748424,0.9815104600195051,-0.06666744284904091,1.2136722184094537,0.007247548920596509,0.249826963088091,3.0287549566331116
2020_2021,Defensive Dynamic Relaxed Risk Parity,2020-01-02,2021-12-31,472,0.1120594659968468,0.06307460609954173,1.3606252711645674,-0.051800178364396765,2.163302705418238,0.00875181514572467,0.25,3.006172839506173
post_2021,Defensive Dynamic Relaxed Risk Parity,2022-01-04,2026-08-28,1096,0.02447652031243641,0.0379480219894993,0.2163480447500641,-0.06250363493896982,0.3916015498352364,0.006446058917818506,0.23562418620070893,2.8399865082789044
post_2022,Defensive Dynamic Relaxed Risk Parity,2023-01-03,2026-08-28,860,0.044303223650385526,0.03222522148739532,0.8673796695233064,-0.042639521328424745,1.0390178470613296,0.0054737720460495305,0.2317035097099932,2.7934786980864974
rolling_36m_2012-03-01_2015-02-28,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2015-02-27,683,0.07633614293883584,0.04951703778446812,0.8797381309058425,-0.06438933487952048,1.1855401687510696,0.006720012533592824,0.2495481813966821,3.0839370650234708
rolling_36m_2013-03-01_2016-02-29,Defensive Dynamic Relaxed Risk Parity,2013-03-01,2016-02-29,708,0.10390441730300037,0.05612881174317673,1.2517975838530775,-0.06666744284904125,1.5585481137813677,0.007705100738571442,0.24954818139668206,2.9966292577031712
rolling_36m_2014-03-01_2017-02-28,Defensive Dynamic Relaxed Risk Parity,2014-03-03,2017-02-28,715,0.11384118689449196,0.05579158577687252,1.4855645860803626,-0.06666744284904258,1.7075979223061928,0.007767102046801126,0.25,3.0075480329368713
rolling_36m_2015-03-01_2018-02-28,Defensive Dynamic Relaxed Risk Parity,2015-03-02,2018-02-28,717,0.1036919503079945,0.05853832272346721,1.2628793455479348,-0.06666744284904069,1.5553611459613164,0.00822417067504254,0.25,3.004798903107861
rolling_36m_2016-03-01_2019-02-28,Defensive Dynamic Relaxed Risk Parity,2016-03-01,2019-02-28,709,0.07892126175040248,0.05143712204382356,0.956719008320907,-0.05371962289040677,1.4691328327343156,0.007400748425910791,0.25,3.004798903107861
rolling_36m_2017-03-01_2020-02-29,Defensive Dynamic Relaxed Risk Parity,2017-03-01,2020-02-28,703,0.08819558454168908,0.05050432330383132,1.1264273338952284,-0.05371962289040666,1.6417759432454837,0.007092758824314825,0.25,3.004798903107861
rolling_36m_2018-03-01_2021-02-28,Defensive Dynamic Relaxed Risk Parity,2018-03-01,2021-02-26,702,0.08718184153624331,0.052939426784522785,1.1312404836574874,-0.051800178364396765,1.6830413386407377,0.007678176913575141,0.25,3.0075480329368713
