candidate_ts_code,candidate_name,active_ts_code,active_name,exposure_vector_correlation,daily_return_correlation,paired_return_days
516980.SH,证券公司先锋策略ETF,511260.SH,10年国债ETF,-0.5527979321124771,-0.1830127653868208,1232
516980.SH,证券公司先锋策略ETF,511880.SH,日利ETF,-0.967454408852394,-0.16544115079217528,1232
520830.SH,沙特ETF,513500.SH,标普500ETF,0.9512631356345412,0.44770039087917574,493
520830.SH,沙特ETF,513030.SH,欧洲ETF,0.9462897905253292,0.5102443897825291,493
520830.SH,沙特ETF,159941.SZ,纳指ETF,0.9271143639545102,0.38428125139415176,493
520830.SH,沙特ETF,513880.SH,日经225ETF,0.9244954820736744,0.3427751650920032,493
520830.SH,沙特ETF,159920.SZ,恒生ETF,0.843780238488126,0.20295065491602107,493
520830.SH,沙特ETF,159980.SZ,有色金属期货ETF,0.8209830723174247,0.2747922607151819,493
520830.SH,沙特ETF,161226.SZ,白银LOF,0.7798746733907443,0.10189243285190233,489
520830.SH,沙特ETF,510300.SH,沪深300ETF,0.6566480345017821,0.15471973348099846,493
520830.SH,沙特ETF,159928.SZ,消费ETF,0.6390866709076921,0.07264610740411104,493
520830.SH,沙特ETF,511380.SH,可转债ETF,0.6300145751806595,0.1803431109274067,493
520830.SH,沙特ETF,512880.SH,证券ETF,0.6275287841001529,0.13067212430675418,493
520830.SH,沙特ETF,510500.SH,中证500ETF,0.6182951600415705,0.1681448182834288,493
520830.SH,沙特ETF,162411.SZ,原油ETF,0.5965843890444801,0.17420544943501762,493
520830.SH,沙特ETF,159915.SZ,创业板ETF,0.5954587624204806,0.116354914180474,493
520830.SH,沙特ETF,518880.SH,黄金ETF,0.5684993794327945,0.16265903470794105,493
520830.SH,沙特ETF,512480.SH,半导体ETF,0.5649361767076257,0.09949076914857351,493
520830.SH,沙特ETF,159819.SZ,人工智能ETF,0.5644849576811993,0.10316529364218928,493
520830.SH,沙特ETF,512100.SH,中证1000ETF,0.5559856356078917,0.15271955322586228,493
520830.SH,沙特ETF,516160.SH,新能源ETF,0.5461401235789265,0.13997260618814403,493
