ts_code,name,universe_status,exposure_china_market,exposure_china_size,exposure_china_value,exposure_duration,exposure_credit,exposure_commodity,exposure_global_equity,observations_china_market,observations_china_size,observations_china_value,observations_duration,observations_credit,observations_commodity,observations_global_equity,min_factor_observations
510880.SH,红利ETF,active_30,0.5738216366657146,-0.0049176515632551885,0.3434423626977341,-0.20334975218889415,0.183805432501228,0.4196498458875805,0.3107572035791986,1581,1579,1581,1581,1518,1581,1581,1518
512480.SH,半导体ETF,active_30,0.5941749019358801,0.40077677105138676,-0.5481131149233694,-0.2097006687083807,0.061345777740163275,0.11397174417247054,0.2989210049368852,1579,1577,1579,1579,1516,1579,1579,1516
159819.SZ,人工智能ETF,active_30,0.6692982246740554,0.40554151522590476,-0.5871986395681702,-0.16663541637258497,0.029041946248997398,0.1094742928089611,0.3618633300644778,1416,1414,1416,1416,1394,1416,1416,1394
516160.SH,新能源ETF,active_30,0.6798122506723432,0.3588263060755835,-0.5201163861688572,-0.16099764860972673,0.045089671497590744,0.14632507685423954,0.2984726187455359,1327,1325,1327,1327,1327,1327,1327,1325
588000.SH,科创50ETF,active_30,0.6959603465788198,0.37498535332190525,-0.6364220545206751,-0.17054818658706594,0.02345630061025004,0.09643162019930936,0.2806117610681077,1384,1382,1384,1384,1371,1384,1384,1371
512880.SH,证券ETF,active_30,0.7778792161504269,0.10415907278160637,-0.38797964304215,-0.20342768149462226,0.13365095904587532,0.21183030338748798,0.3512488455820465,1581,1579,1581,1581,1518,1581,1581,1518
512660.SH,军工ETF,active_30,0.6031268973789405,0.4840836996730628,-0.39424820497247914,-0.16119397884682068,0.06980885475480346,0.15461103734434178,0.28038469322076987,1581,1579,1581,1581,1518,1581,1581,1518
159928.SZ,消费ETF,active_30,0.7505414670573429,-0.12309441450382062,-0.449114593524395,-0.22506883146927037,0.12367174418526344,0.21618085232359463,0.3282343709301012,1581,1579,1581,1581,1518,1581,1581,1518
159920.SZ,恒生ETF,active_30,0.6840721917948263,-0.032175194432464034,-0.3153203841197109,-0.2107194368714119,0.132638493681509,0.3542111963857612,0.6634911575435809,1581,1579,1581,1581,1518,1581,1581,1518
161226.SZ,白银LOF,active_30,0.23592518832520235,0.06188133909660072,-0.09720214185447903,0.01574305091420804,-0.006881249291331584,0.3425512747279002,0.266186127160001,1577,1575,1577,1577,1514,1577,1577,1514
159941.SZ,纳指ETF,active_30,0.3576864027344779,0.05180116434456163,-0.21587444626585336,-0.08754768916162749,0.038022836331433815,0.2290527357484329,0.8767498868023849,1581,1579,1581,1581,1518,1581,1581,1518
513500.SH,标普500ETF,active_30,0.3026441038277026,0.06164922971564151,-0.12489258368046376,-0.0762200583360023,0.02809442127809898,0.32521596707672495,0.894508537726184,1579,1577,1579,1579,1516,1579,1579,1516
513880.SH,日经225ETF,active_30,0.3300061953472164,0.07375404639758058,-0.20307240051549733,-0.06158357336351841,0.025514762213426453,0.23180694653253314,0.8237062564941735,1581,1579,1581,1581,1518,1581,1581,1518
513030.SH,欧洲ETF,active_30,0.34803882544780823,0.03778096282557354,-0.16923118168273693,-0.11527979878594226,0.06325133949632224,0.24837617770497122,0.8515552774960189,1579,1577,1579,1579,1516,1579,1579,1516
518880.SH,黄金ETF,active_30,0.13808877364629432,0.05823697394143415,-0.04414806113086229,0.09050519789703529,-0.02928142962668912,0.3590981851162497,0.17704790069367807,1581,1579,1581,1581,1518,1581,1581,1518
159980.SZ,有色金属期货ETF,active_30,0.3915638289495624,0.07862561805408556,-0.054634858016055665,-0.17294551064989877,0.10874407356299996,0.6697578763626888,0.4211780294187488,1581,1579,1581,1581,1518,1581,1581,1518
159981.SZ,能源化工期货ETF,active_30,0.20248608785357416,0.009257381327492212,0.13074035538541987,-0.18243565760785938,0.10845134707974981,0.7293659471040871,0.11982695725500049,1581,1579,1581,1581,1518,1581,1581,1518
159985.SZ,豆粕ETF,active_30,0.08477416976869466,-0.0353724683694699,0.0368325554771391,-0.04591441373752537,0.03599384326278719,0.4842656879881535,0.06105280619623602,1581,1579,1581,1581,1518,1581,1581,1518
515220.SH,煤炭ETF,active_30,0.3798371748408848,0.05502659419726344,0.3383990755573655,-0.15091682225470288,0.12374137992655866,0.4179732116793779,0.22422798729783003,1557,1555,1557,1557,1498,1557,1557,1498
162411.SZ,原油ETF,active_30,0.17361097361379763,-0.032171071152038086,0.08934406918416782,-0.09366332679707266,0.026426865154594567,0.7915522296637009,0.2719046984298706,1581,1579,1581,1581,1518,1581,1581,1518
511090.SH,30年国债ETF,candidate_6,-0.28620891869503995,-0.13382259997339488,0.19167419654119447,0.8668201020014544,-0.48302721299024093,-0.0843982612290361,-0.135251681074506,759,759,759,759,759,759,759,759
513310.SH,中韩半导体ETF,candidate_6,0.6013631748597456,0.29427107908174716,-0.563328585424744,-0.15224953076717382,0.0330460114018529,0.16581185821968222,0.5813942725832787,872,872,872,872,872,872,872,872
516980.SH,证券公司先锋策略ETF,candidate_6,0.6785029537431408,0.11240153443051007,-0.3365961025677478,-0.16783911989761535,0.0834945570036683,0.15110045145465684,0.2927759803137853,1232,1230,1232,1232,1232,1232,1232,1230
520830.SH,沙特ETF,candidate_6,0.15524835062291917,0.07093290474831031,-0.037383100695403626,-0.13021638875446329,0.098283033507289,0.2486094107891041,0.4607093382845839,493,493,493,493,493,493,493,493
520870.SH,巴西ETF,candidate_6,0.4228891828317934,0.12874852251040653,-0.13957631928476594,-0.052723988802315346,0.17564108470270345,0.2706239380746095,0.5446086730439387,173,173,173,173,173,173,173,173
562500.SH,机器人ETF,candidate_6,0.6745314278163922,0.5917437605026409,-0.5879004510176226,-0.1722402788112793,0.05771294759087113,0.11260502199315908,0.35931484697457433,1110,1108,1110,1110,1110,1110,1110,1108
